item_id,timestamp,target
HD한국조선해양,2025-12-26,403000
HD한국조선해양,2025-12-29,410500
HD한국조선해양,2025-12-30,407000
HD한국조선해양,2026-01-02,393500
HD한국조선해양,2026-01-05,401000
HD한국조선해양,2026-01-06,414000
HD한국조선해양,2026-01-07,418000
HD한국조선해양,2026-01-08,424500
HD한국조선해양,2026-01-09,447000
HD한국조선해양,2026-01-12,450500
HD한국조선해양,2026-01-13,462500
HD한국조선해양,2026-01-14,427500
HD한국조선해양,2026-01-15,440000
HD한국조선해양,2026-01-16,438500
HD한국조선해양,2026-01-19,444500
HD한국조선해양,2026-01-20,443000
HD한국조선해양,2026-01-21,428500
HD한국조선해양,2026-01-22,424500
HD한국조선해양,2026-01-23,435000
삼성SDI,2025-12-24,280000
삼성SDI,2025-12-26,274000
삼성SDI,2025-12-29,277500
삼성SDI,2025-12-30,269500
삼성SDI,2026-01-02,262500
삼성SDI,2026-01-05,275000
삼성SDI,2026-01-06,277000
삼성SDI,2026-01-07,270500
삼성SDI,2026-01-08,271000
삼성SDI,2026-01-09,267500
삼성SDI,2026-01-12,278000
삼성SDI,2026-01-13,300000
삼성SDI,2026-01-14,285500
삼성SDI,2026-01-15,291500
삼성SDI,2026-01-16,289000
삼성SDI,2026-01-19,314000
삼성SDI,2026-01-20,326000
삼성SDI,2026-01-21,324000
삼성SDI,2026-01-22,384500
삼성SDI,2026-01-23,370000
POSCO홀딩스,2025-12-24,314000
POSCO홀딩스,2025-12-26,308000
POSCO홀딩스,2025-12-29,314000
POSCO홀딩스,2025-12-30,305000
POSCO홀딩스,2026-01-02,297500
POSCO홀딩스,2026-01-05,302500
POSCO홀딩스,2026-01-06,304000
POSCO홀딩스,2026-01-07,308000
POSCO홀딩스,2026-01-08,300500
POSCO홀딩스,2026-01-09,304000
POSCO홀딩스,2026-01-12,309500
POSCO홀딩스,2026-01-13,352500
POSCO홀딩스,2026-01-14,345000
POSCO홀딩스,2026-01-15,351500
POSCO홀딩스,2026-01-16,331500
POSCO홀딩스,2026-01-19,347500
POSCO홀딩스,2026-01-20,357500
POSCO홀딩스,2026-01-21,351000
POSCO홀딩스,2026-01-22,359500
POSCO홀딩스,2026-01-23,366000
하나금융지주,2025-12-24,94900
하나금융지주,2025-12-26,93800
하나금융지주,2025-12-29,94900
하나금융지주,2025-12-30,94100
하나금융지주,2026-01-02,93400
하나금융지주,2026-01-05,94100
하나금융지주,2026-01-06,94900
하나금융지주,2026-01-07,93500
하나금융지주,2026-01-08,91900
하나금융지주,2026-01-09,92900
하나금융지주,2026-01-12,94000
하나금융지주,2026-01-13,94300
하나금융지주,2026-01-14,96100
하나금융지주,2026-01-15,96200
하나금융지주,2026-01-16,96400
하나금융지주,2026-01-19,96200
하나금융지주,2026-01-20,100300
하나금융지주,2026-01-21,99800
하나금융지주,2026-01-22,100500
하나금융지주,2026-01-23,101000
카카오,2025-12-24,59800
카카오,2025-12-26,58100
카카오,2025-12-29,61200
카카오,2025-12-30,60100
카카오,2026-01-02,62100
카카오,2026-01-05,62800
카카오,2026-01-06,63800
카카오,2026-01-07,59300
카카오,2026-01-08,57800
카카오,2026-01-09,58200
카카오,2026-01-12,58200
카카오,2026-01-13,59300
카카오,2026-01-14,58800
카카오,2026-01-15,58500
카카오,2026-01-16,57300
카카오,2026-01-19,56600
카카오,2026-01-20,59000
카카오,2026-01-21,57300
카카오,2026-01-22,58400
카카오,2026-01-23,60800
삼성중공업,2025-12-24,24500
삼성중공업,2025-12-26,23950
삼성중공업,2025-12-29,24600
삼성중공업,2025-12-30,24100
삼성중공업,2026-01-02,24150
삼성중공업,2026-01-05,24450
삼성중공업,2026-01-06,24800
삼성중공업,2026-01-07,25350
삼성중공업,2026-01-08,26350
삼성중공업,2026-01-09,28650
삼성중공업,2026-01-12,28150
삼성중공업,2026-01-13,28950
삼성중공업,2026-01-14,28350
삼성중공업,2026-01-15,30150
삼성중공업,2026-01-16,29750
삼성중공업,2026-01-19,31850
삼성중공업,2026-01-20,30850
삼성중공업,2026-01-21,30550
삼성중공업,2026-01-22,30100
삼성중공업,2026-01-23,30350
LG화학,2025-12-24,346000
LG화학,2025-12-26,336000
LG화학,2025-12-29,338500
LG화학,2025-12-30,333000
LG화학,2026-01-02,322500
LG화학,2026-01-05,330000
LG화학,2026-01-06,328500
LG화학,2026-01-07,319500
LG화학,2026-01-08,315000
LG화학,2026-01-09,312500
LG화학,2026-01-12,321500
LG화학,2026-01-13,342500
LG화학,2026-01-14,330500
LG화학,2026-01-15,336000
LG화학,2026-01-16,333500
LG화학,2026-01-19,337500
LG화학,2026-01-20,339000
LG화학,2026-01-21,331000
LG화학,2026-01-22,350500
LG화학,2026-01-23,355500
삼성화재,2025-12-24,499000
삼성화재,2025-12-26,491500
삼성화재,2025-12-29,496000
삼성화재,2025-12-30,497000
삼성화재,2026-01-02,497000
삼성화재,2026-01-05,487500
삼성화재,2026-01-06,495000
삼성화재,2026-01-07,485500
삼성화재,2026-01-08,471500
삼성화재,2026-01-09,470000
삼성화재,2026-01-12,477000
삼성화재,2026-01-13,476500
삼성화재,2026-01-14,479500
삼성화재,2026-01-15,475500
삼성화재,2026-01-16,486500
삼성화재,2026-01-19,480500
삼성화재,2026-01-20,501000
삼성화재,2026-01-21,498500
삼성화재,2026-01-22,489500
삼성화재,2026-01-23,490250
현대로템,2025-12-24,183600
현대로템,2025-12-26,179800
현대로템,2025-12-29,189600
현대로템,2025-12-30,187900
현대로템,2026-01-02,193400
현대로템,2026-01-05,198800
현대로템,2026-01-06,206500
현대로템,2026-01-07,202500
현대로템,2026-01-08,211000
현대로템,2026-01-09,219000
현대로템,2026-01-12,218000
현대로템,2026-01-13,232000
현대로템,2026-01-14,223000
현대로템,2026-01-15,219500
현대로템,2026-01-16,215000
현대로템,2026-01-19,215000
현대로템,2026-01-20,218500
현대로템,2026-01-21,215500
현대로템,2026-01-22,206500
현대로템,2026-01-23,207500
효성중공업,2025-12-24,1790000
효성중공업,2025-12-26,1757000
효성중공업,2025-12-29,1840000
효성중공업,2025-12-30,1781000
효성중공업,2026-01-02,1845000
효성중공업,2026-01-05,1913000
효성중공업,2026-01-06,1845000
효성중공업,2026-01-07,1825000
효성중공업,2026-01-08,1839000
효성중공업,2026-01-09,1885000
효성중공업,2026-01-12,2013000
효성중공업,2026-01-13,2032000
효성중공업,2026-01-14,2125000
효성중공업,2026-01-15,2243000
효성중공업,2026-01-16,2333000
효성중공업,2026-01-19,2360000
효성중공업,2026-01-20,2344000
효성중공업,2026-01-21,2319000
효성중공업,2026-01-22,2349000
효성중공업,2026-01-23,2341000
우리금융지주,2025-12-24,28500
우리금융지주,2025-12-26,28300
우리금융지주,2025-12-29,28250
우리금융지주,2025-12-30,28000
우리금융지주,2026-01-02,28050
우리금융지주,2026-01-05,27900
우리금융지주,2026-01-06,28300
우리금융지주,2026-01-07,27750
우리금융지주,2026-01-08,27250
우리금융지주,2026-01-09,27300
우리금융지주,2026-01-12,27500
우리금융지주,2026-01-13,27850
우리금융지주,2026-01-14,28050
우리금융지주,2026-01-15,28000
우리금융지주,2026-01-16,27900
우리금융지주,2026-01-19,27550
우리금융지주,2026-01-20,28400
우리금융지주,2026-01-21,28850
우리금융지주,2026-01-22,29100
우리금융지주,2026-01-23,29350
SK,2025-12-24,247000
SK,2025-12-26,245000
SK,2025-12-29,253500
SK,2025-12-30,256500
SK,2026-01-02,259000
SK,2026-01-05,270000
SK,2026-01-06,287500
SK,2026-01-07,282000
SK,2026-01-08,279500
SK,2026-01-09,284000
SK,2026-01-12,279000
SK,2026-01-13,281000
SK,2026-01-14,295500
SK,2026-01-15,301500
SK,2026-01-16,299000
SK,2026-01-19,294000
SK,2026-01-20,295000
SK,2026-01-21,293000
SK,2026-01-22,291500
SK,2026-01-23,296000
알테오젠,2025-12-24,430000
알테오젠,2025-12-26,439000
알테오젠,2025-12-29,455000
알테오젠,2025-12-30,449500
알테오젠,2026-01-02,457000
알테오젠,2026-01-05,468500
알테오젠,2026-01-06,474000
알테오젠,2026-01-07,471000
알테오젠,2026-01-08,478500
알테오젠,2026-01-09,511000
알테오젠,2026-01-12,475500
알테오젠,2026-01-13,477500
알테오젠,2026-01-14,467000
알테오젠,2026-01-15,470500
알테오젠,2026-01-16,518000
알테오젠,2026-01-19,496000
알테오젠,2026-01-20,481000
알테오젠,2026-01-21,373500
알테오젠,2026-01-22,370000
알테오젠,2026-01-23,385000
삼성전기,2025-12-24,253500
삼성전기,2025-12-26,259000
삼성전기,2025-12-29,257500
삼성전기,2025-12-30,255000
삼성전기,2026-01-02,270000
삼성전기,2026-01-05,270000
삼성전기,2026-01-06,268000
삼성전기,2026-01-07,267500
삼성전기,2026-01-08,272000
삼성전기,2026-01-09,266000
삼성전기,2026-01-12,279000
삼성전기,2026-01-13,289000
삼성전기,2026-01-14,284500
삼성전기,2026-01-15,289500
삼성전기,2026-01-16,289500
삼성전기,2026-01-19,292000
삼성전기,2026-01-20,282000
삼성전기,2026-01-21,280000
삼성전기,2026-01-22,283000
삼성전기,2026-01-23,270500
HD현대,2025-12-24,192800
HD현대,2025-12-26,188500
